Alert,Description,Date
Dead Horse Bay Remains Closed to the Public,"The entire southern area of Dead Horse Bay, including Glass Bottle Beach, is closed to the public. Crews are working in these areas using heavy brush clearing equipment and performing radiation surveys.",2023-03-03 15:43:10.0
Visitor Center Phones Down,Phones at the Selma Interpretive Center are currently down. Please call the Montgomery Interpretive Center at (334)293-0597 for questions or to make a reservation for a group visit at any of our visitor centers.,2023-03-03 14:58:24.0
Olympic National Park Visitor Center Open During Race St. Construction,A City of Port Angeles construction project is underway to improve the Race Street corridor near the Olympic National Park Visitor Center. The visitor center will remain open over the course of the project.,2023-03-03 14:09:51.0
US Highway 50 Roadwork,"Road construction with delays and nightly closures on US Highway 50 between Cimarron and Dillon Pinnacles runs from March 6 to July 31, 2023. The road is open to two-way traffic on weekends and holidays.",2023-03-03 11:56:40.0
Ticket Required to Hike Old Rag,March 1 - November 30 those wishing to hike Old Rag are required to purchase a day-use ticket before arriving.,2023-03-03 10:38:24.0
Depot Street Work/Closures,"The town of Greeneville is working on roads adjacent to the Visitor Center. This may impact your ability to access the site and parking lot. Call 423-638-3551 for more information, or check the website provided.",2023-03-03 07:46:43.0
 Phased Reopening and Outdoor Programming,"We are increasing access to the parks in phases. Beginning 1/15/2023, visitor centers at Cowpens and Kings Mountain will open 9 – 5 on Wed – Sun. Grounds & restrooms open daily 9 – 5.",2023-03-02 15:49:21.0
Temporary closure of Ringfield Pullout until further notice for shoreline stabilization construction,"Effective March 7, 2023, Ringfield Pullout and river access will be closed to all visitors until further notice for shoreline stabilization construction. The Powhatan Village and Indian Field Creek Pullouts remain open as alternate access to York River.",2023-03-02 15:30:00.0
High Wind Risk,"During the windy season (November through March, annually) the park often experiences high wind speeds (above 45MPH) and dangerous gusts (50MPH to above 80MPH). These strong winds can pose a risk to those hiking, camping, or driving.",2023-03-02 13:42:08.0
Thompson Memorial A.M.E. Zion Church Restoration,"The Thompson Memorial A.M.E. Zion Church and parsonage at 47 Parker Street, Auburn, are currently undergoing restoration and rehabilitation. The buildings are closed to the public, but are expected to open in late summer 2023.",2023-03-02 12:34:53.0
Cashless payments at staffed locations,"As of March 1, 2023, the Lakeshore will accept only cashless payments at staffed locations for all fees and permits.",2023-03-02 09:16:35.0
Drive Cautiously - Endangered Birds on Roadway,"Nēnē (Hawaiian geese) and ʻuaʻu(Hawaiian petrel) are nesting in the park and may land on or frequent park roads, parking lots, and road leading up to the park. Drivers are reminded to drive at the posted speed limits and exercise caution.",2023-03-01 18:06:54.0
"Haleakalā Visitor Center at 9,740 Feet Closed for a Building Improvement Project","Haleakalā Visitor Center at 9,740 feet is temporarily closed for a building improvement project. The parking lot at this location remains open. Headquarters Visitor Center at 7,000 remains open from 8:30 am - 4:30 pm.",2023-03-01 14:01:28.0
Boston Store Trailhead River Access Closure,"The Boston Store Trailhead River Access at mile marker 26.6 will be closed for construction of a pedestrian bridge over the Cuyahoga River. The closure will last from March 10, 2023 to June 18, 2023, this is subject to change.",2023-03-01 11:29:06.0
Little Rock Central High School National Historic Site visitor center closures - March 2023,The Central High School NHS Visitor Center is open Tuesday through Saturday (10:00 a.m. CST/CDT to 4:00 p.m. CST/CDT). Guests may visit the NHS daily; use the NPS App for digital content on days when the visitor center is closed.,2023-03-01 10:45:15.0
Parking Garage at the Visitor Center,"If you need to use the Parking Garage at the Visitor Center, please enter through the far left bay to get your parking ticket. The middle bay has a broken printer and you will not be able to get the appropriate ticket from that bay.",2023-03-01 09:21:58.0
Avoid area around the church & under trees in high wind conditions,"In high wind conditions (sustained winds of 25 mph and above) visitors are advised to avoid the area around the church, with the possibility of falling clay tiles from the roof, and the cemetery, possibility of falling tree branches or limbs. Thank you.",2023-03-01 09:06:43.0
Belmont-Paul Women's Equality NM closed for renovations,Renovation work funded through the Great American Outdoors Act (GAOA) began in January 2022. The museum will remain closed to the general public during construction. We hope to welcome visitors again in 2023.,2023-02-28 12:32:44.0
Melrose Mansion Guided Tours,"Reservations for guided tours of the mansion must be made on Recreation.gov. Tours start at 9, 10, 11, 2, 3, and 4; masks are optional. Beginning March 1, Melrose will be temporarily closed on Tuesdays.",2023-02-28 11:19:07.0
Giftshop closed the last Tuesday of every month,The giftshop will be closed the last Tuesday of every month for inventory.,2023-02-28 11:08:55.0
Several Trails Close For Peregrine Falcon Nesting Season,"Effective March 1, areas including Jordan Cliffs Trail, Precipice Trail, and Valley Cove Trail are closed to protect peregrine falcons from human disturbance or harassment during an annual nesting period.",2023-02-28 09:55:48.0
Road Open To: Mile 13 (Mountain Vista),"The Denali Park Road is open to Mile 13, Mountain Vista. Wintry conditions beyond that point prevent vehicle travel, though pedestrian travel is permitted. Be prepared for winter driving conditions to reach Mile 13.",2023-02-27 15:39:33.0
Changing Health and Safety Procedures,"Effective March 1st, the Museum Shop and Visitor Center will be mask-optional for all visitors and staff. However, masks will still be required on indoor building tours. Children under 5 can attend a neighborhood walking tour or visit us virtually",2023-02-27 11:53:52.0
Health and Safety Procedures,The Tenement Museum is an affiliated site with the National Park Service. As an affiliated site they reserve the right to set health and safety standards for the museum. Please check their website to learn about specific requirements guests must follow.,2023-02-27 11:53:42.0
Park Closure,César Chávez National Monument is subject to intermittent closures because of impacts of winter storms.,2023-02-27 11:01:52.0
Seasonal Closures,The Coyote Loop of Juniper Family Campground and the RV Dump Station will be closed until late spring 2023.,2023-02-26 16:20:09.0
Temporary Relocation,"The French Quarter visitor center for the New Orleans Jazz NHP and the Jean Lafitte NHP&P has temporarily moved to 916 N. Peters Street, New Orleans, LA 70116, as of 2/28/23.",2023-02-25 18:18:38.0
Wupatki VC Phone Outages,The main phone line for the visitor center experiences occasional outages. Please call 928-856-1705 if you have trouble getting through on the main number.,2023-02-25 15:48:38.0
Bathrooms Closed for Rehabilitation Project - 1/9 through 3/3,The Montezuma Castle Visitor Center's bathrooms will be closed for rehabilitation and repairs from 1/9 - 2/20. The park will have bathroom trailers and porta potties on site for visitor use. The park asks all visitors to plan accordingly.,2023-02-25 11:02:05.0
Park Operations During Spring Break Feb. 26 - May 13.,"From Feb. 26 - May 13 the park will be in Spring Break Operations. Please be sure to plan for long lines, long waits and parking lots to be full. We ask the public to not park parallel, have passes and IDs ready, as well as exact change for entrance fee.",2023-02-25 11:00:11.0
Park Operations During Spring Break Feb. 26 - May 13.,"From Feb. 26 - May 13 the park will be in Spring Break Operations. Please be sure to plan for long lines, long waits and parking lots to be full. We ask the public to not park parallel, have passes and IDs ready, as well as exact change for entrance fee.",2023-02-25 10:59:51.0
"Park Closed to Buses, RVs and Trailers 10am - 2pm. Feb. 26 - May 13.","The parks (including Montezuma Well) will enter Spring Break Operations Feb. 26 - May 13. During this time, the parking lots will be closed to large, oversized vehicles such as RVs and trailers between the times of 10am and 2pm. Please plan accordingly.",2023-02-25 10:53:15.0
Annual Closure to Protect Nesting Peregrine Falcons,"To provide peregrine falcons adequate space for nesting, portions of Maryland Heights will be closed from Feb 15 to July 31, 2023. This includes several rock outcroppings near the overlook and certain climbing walls. The Maryland Heights Trail is OPEN.",2023-02-24 14:49:44.0
French Quarter and Jazz NHP Visitor Center Temporary Relocation,"The French Quarter and New Orleans Jazz NHP Visitor Center is temporarily moved to 916 N. Peters Street, New Orleans, LA 70116. For more details and updates, click ""more"" below.",2023-02-24 11:26:28.0
Special Use Permits,"Special Use Permits are typically needed for activities that benefit a specific group. Examples include: Groups of 40 or more, trips organized by scouting groups, churches, or academic institutions, photography, weddings, and first amendment activities",2023-02-23 17:40:28.0
Park trails are largely open; picnic area remains closed.,Trails are now open. Temporary closures may exist on portions of the trail where hazards are still present. Park staff are working to remove these hazards to provide a safe visitor experience. The picnic area remains closed due to downed trees and,2023-02-23 15:40:59.0
Weather Advisory and Storm Warnings,The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local weather forecasts. We appreciate your understanding.,2023-02-23 15:02:25.0
Weather Advisory and Storm Warnings,The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local weather forecasts. We appreciate your understanding.,2023-02-23 14:57:36.0
Weather Advisory and Storm Warnings,The park may have delayed openings or closures in the event of severe weather. Travel may not be recommended during these times. Please check local forecasts. We appreciate your understanding.,2023-02-23 14:42:01.0
Closures Due to Eagle and Peregrine Falcon Nesting,"The following areas are closed due to raptor nesting: McDade Trail between Pittman Orchard and Conashaugh Trailhead, Sawkill Creek Trail, Mt. Minsi climbing area (Appalachian Trail remains open), Flying Hawks Airfield (closed to model airplane flying).",2023-02-23 09:13:00.0
Equestrian Bridge Closure,"To protect equestrian riders and their horses, the northern most bridge on the equestrian trail is closed immediately to equestrian use. It will remain closed until it can be replaced.",2023-02-22 14:13:39.0
Closure of Campsites in Park Campgrounds,"Due to infrastructure improvements this summer, Turkey Run Group Campground will be closed 6-20-23 thru 10-27-23, Cabin Camp 3 will remain closed until 8-2-23, and campsite A1-A24 of Oak Ridge Campground will be closed 8-1-23 thru 11-16-23.",2023-02-22 11:53:42.0
Road Closure March 12th for West Orange St. Patrick's Day Parade,"Main St. will close Sunday, March 12th from about 11am till about 3:00pm for the annual West Orange St. Patrick's Day Parade. Until Main St. reopens, our parking lots will be closed. Parking may be available on Lakeside Ave or nearby streets.",2023-02-22 08:51:52.0
Gallatin House Wheelchair Ramp Construction,"The wheelchair ramp into the Gallatin House will be under construction from February 27th to April 30th, 2023. This will prevent wheelchair access to the historic home and may impede accessibility for other visitors until the work is completed.",2023-02-18 15:42:07.0
Angels Landing Pilot Permit Program,Everyone who hikes Angels Landing needs to have a permit. Learn why you need a permit and how to get one. This requirement does not affect entering the park or riding the park shuttle (when it is running).,2023-02-18 12:39:08.0
Black Canyon South Rim Wilderness Permits,"South Rim inner canyon permits can be obtained day-of-the-trip at the visitor center (because it is off-season), either from a ranger or self-serve. Permits are required for Gunnison, Tomichi, and Warner routes and inner canyon trips; daily limits apply.",2023-02-17 14:01:31.0
Slippery Conditions along Mainland Trail and Meyers Beach Parking Area,"Freezing temperatures, following recent rains, glazed the trail and parking area at Meyers Beach with a layer of ice. Shoe traction devices and trekking poles are highly recommended. Use extra caution where the trail approaches the cliff edge.",2023-02-17 12:51:34.0
Opelofa Loop Trail Closure,"The Opelofa Loop Trail, the 1/4-mile loop off-shooting from the main Opelofa Trail, is currently closed due to hazardous conditions.",2023-02-17 11:27:55.0
Intermittent Closures of River Road for Amphibian Migration,"River Road will be closed on several evenings between now and mid-April to protect breeding amphibians on evenings/nights with mild, wet conditions. Closure occurs from approximately 6 pm to 6:30 am. https://www.nps.gov/dewa/learn/news/23-amphibians.htm",2023-02-16 15:33:35.0
Construction at South Entrance near Springdale,There is one lane open into Zion and one lane open out of Zion at the park's south entrance. Expect delays entering the park. This is to accommodate drainage improvement work under the road.,2023-02-16 13:01:48.0
Park Closed to the Public,"The park is currently closed to the public. If you would like learn more about Honouliuli when visiting O‘ahu, you can visit our partner at the Japanese Cultural Center of Hawai‘i in Honolulu.",2023-02-16 11:01:46.0
Visitor Center Relocated,"Due to an ongoing renovation project, the main Visitor Center will be closed. Services such as the museum and movie will be unavailable at this time. Other services such as public restrooms and park information have been moved to the temporary VC.",2023-02-15 14:26:12.0
Visitor Center Closed for Season,Brochures & park stamps are available daily at Fort Moultrie on Sullivan's Island. The outdoor grounds & restrooms are open Wednesday through Sunday. The site is fully closed Monday & Tuesday. Please monitor this website for our spring 2023 re-opening,2023-02-15 09:13:11.0
Roofing Project Underway,"Beginning February 6, 2023, construction crews are working on the roof of the historic home. Please avoid marked construction areas and blocked walkways. The project will last about 6 weeks.",2023-02-15 08:59:15.0
Whitewater Creek Access Road and Parking Lot Closed,"The Whitewater Creek access road and parking lot are closed for storm damage assessment and repairs. Trails at East Palisades remain open, but please visit alternate park units.",2023-02-14 14:17:39.0
Riparian Trail is currently closed,"Due to safety issues, the Riparian trail is currently closed to the public. This trail is located half way up the Mount Wanda Fire road, past the Nature Trail. Please do not access this trail until further notice.",2023-02-14 13:44:54.0
Phone Lines Down,"We are experiencing technical difficulties with our phones. To speak with a specific employee, please call their work cell phone directly or e-mail using format firstname_lastname@nps.gov. For general information, e-mail stea_visitor_information@nps.gov.",2023-02-14 11:10:20.0
Main Road Status,The Main Road is open to Bryce Point (Mile 3 of 18); see Current Conditions below for more information. Roads to Fairyland Point and Paria View are closed for the winter.,2023-02-14 10:28:44.0
Temporary Closure of Drakes Beach and Limited Access to Drakes Beach Road and Parking Lot,"The Drakes Beach area and Drakes Beach Rd from Sir Francis Drake Blvd are closed to all vehicle, foot, & bicycle traffic from 4 pm to 10 am due to elephant seal activity at the parking lot. However, there may be access for seal viewing from 10 am to 4 pm.",2023-02-12 18:02:26.0
Adverse Effect at Prince William Forest Park RV Campground,"Prince William Forest Park would like to notify the public of an adverse effect to potential historic resources in the park’s RV campground, as required by 36 CFR § 800.6(a)(4). For more information, see link.",2023-02-11 15:19:26.0
Nature Center Closed on Wednesdays this Spring,"To plan for new activities and onboard new staff, starting February 15, the Rock Creek Park Nature Center and Planetarium will be closed to the public on Wednesdays, continuing into late spring. We will remain open Thursday through Sunday, 9am to 5pm.",2023-02-11 09:34:09.0
Heart O' the Hills Campground and Heart O' the Forest Trail temporarily closed,"The Heart O' the Hills Campground and Heart O' the Forest Trail will be closed from March 1 to May 12, 2023, during rehabilitation of water and wastewater systems.",2023-02-10 20:38:51.0
Wind Cave moves to cashless fee collection,"Payments for cave tours, campground fees, as well as Interagency Passes at Wind Cave National Park, will be by credit/ debit cards or digital payments only. Cash and check payments will no longer be accepted.",2023-02-10 17:18:28.0
Park Museum Opening,"The museum at Klondike Gold Ruah National Historical Park will be open to visitors starting February 27. It will be open. 10-4 Monday-Friday until April 30, when it will go to expanded hours.",2023-02-09 18:42:36.0
Closure to Off-Trail Burn Area at East Santa Cruz Island,"Scorpion Anchorage is open for day and overnight visitation. Hiking is still allowed on the Smugglers Cove Road. However, the nearby off-trail Scorpion Fire burn area of approximately 1,411 acres will be closed for restoration until further notice.",2023-02-09 18:33:14.0
Carter G. Woodson Home NHS temporarily closed.,Carter G. Woodson Home National Historic Site is temporarily closed due to a full renovation project. The anticipated reopening is scheduled for late Fall 2023. Please continue to visit the website for future updates.,2023-02-08 12:40:40.0
"For entrance fees, we accept digital passes and credit/debit cards",Digital passes or credit/debit cards are the ONLY method of payment at all fee collection areas. Pre-paid digital passes are available online and may be purchased in advance.,2023-02-08 11:51:02.0
Be Aware of Illegal Traffic,Smuggling and/or illegal entry is common in this area due to the proximity of the international border. Please be aware of your surroundings at all times and do not travel alone in remote areas.,2023-02-08 11:01:39.0
Camp Greentop,"Due to ongoing construction to improve the visitor and group experience Camp Greentop is currently closed for renovation and rehabilitation. We anticipate an opening of late summer. For updates or inquiries please email, CATO_CampManager@nps.gov.",2023-02-08 10:37:23.0
Restrooms at Picnic Grove #10 temporarily closed,"The restroom facility at Picnic Grove #10 along Beach Drive is temporarily closed. Restroom facilities are open at Picnic Grove #1, Picnic Grove #6, Picnic Grove #24, behind Peirce Barn, and at the Rock Creek Nature Center during business hours.",2023-02-07 15:00:38.0
Summit Road Winter Status,"Due to dangerous conditions caused by snow and ice, the Summit Road is often closed during the winter season. For the latest on the status of the road, please contact the visitor center at 308-436-9700.",2023-02-07 10:40:58.0
"The Oaks, Home of Booker T. Washington is currently closed","The Oaks, Home of Booker T. Washington is currently closed as it undergoes rehabilitation work. The grounds are open from sunup to sundown daily.",2023-02-04 11:17:32.0
The George Washington Carver Museum open Thursday and Friday,The George Washington Carver Museum will undergo rehabilitation work beginning in 2023. The museum is currently open to visitors Thursday and Friday from 9:00-4:30cst.,2023-02-04 11:17:17.0
Echo and Hole in the Wall now open- Roadside camping permit required,A free permit is now required to camp along these roads. No permit is required for day use. Click below for more information.,2023-02-03 21:33:45.0
Partial Closure of San Miguel Island Due to Safety Concerns,"All trails and facilities on San Miguel Island, except the sandy beaches of Cuyler Harbor, are closed to the public until emergency repairs can be made to Nidever Canyon Trail.",2023-02-03 17:46:06.0
Frederick Douglass NHS is Closed,"Beginning March 1, 2022, the Frederick Douglass NHS is closed to the public for renovations until late Spring 2023. For future announcements and virtual programming, please visit the webpage and follow the park on social media.",2023-02-03 14:00:09.0
"Historic Homes Closed, Winter of 2022 to 2023","Adams National Historical Park is now closed for Guided Tours. The historic homes are anticipated to reopen on May 3, 2023. The Visitor Center is open Monday to Friday, 10 a.m. to 4 p.m. Please call the Visitor Center at 617-770-1175 with any questions",2023-02-03 12:55:07.0
Delassus-Kern House and Property Closed,"Due to hazardous conditions, the Delassus-Kern House and surrounding property are closed indefinitely.",2023-02-03 10:51:10.0
Tuff Canyon TRAIL CLOSURE,"The Tuff Canyon Trail and overlooks are CLOSED to entry until further notice, due to a rock fall and unstable slopes.",2023-02-03 09:39:30.0
Closures on parts of Garden Key and Loggerhead Key,"Until further notice, all finger piers and slips, and the dinghy beach between the finger piers and the South Coaling Dock are closed on Garden Key. On Loggerhead Key, the Historic Preservation/Adaptive Use zone around the lighthouse is closed.",2023-02-02 12:54:45.0
Masks Required in Visitor Center,"Mask Update: Arkansas County is at a High Level for Covid cases. The Visitor Center is requiring masks to be worn inside the building, regardless of vaccination status, until the level decreases in the county.",2023-02-01 07:48:10.0
Park contact stations (visitor centers and ranger stations) closed in winter,The park's public lands are always open but visitor facilities have limited seasons: Closed in winter between October and April. Call (907) 822-5234 or email wrst_info@nps.gov for park information.,2023-01-31 18:32:49.0
Temporary Trail Closure to Protect Nesting Falcons,"From February 1st through May 31st, a portion of the East Rim Trail in the Chisos Mountains will be closed to protect nesting falcons. The closure includes East Rim backpacking campsites ER-4, 5, 6, 7, 8, 9. For details and a map, click ""more.""",2023-01-31 16:44:18.0
Masks are Optional in Wolf Trap National Park for the Performing Arts Facilities,"Consistent with CDC guidance regarding COVID-19 Community Levels (Fairfax County is currently low), the wearing of masks in Wolf Trap National Park for the Performing Arts grounds and facilities is optional.",2023-01-31 10:08:40.0
Lot 3 and Sidewalk Area Closure,"Due to ongoing construction projects, parking Lot 3 and upper sidewalk area leading from Ovations Pavilion to Filene Center Dinner Gate will be closed to the public until further notice.",2023-01-31 10:05:32.0
Winter Fee Collection,Winter Meyers Beach parking fees will only be collected with the Recreation.gov app Scan&Pay feature. Download the Recreation.gov app before visiting to pay fees when out of cell service. Cash fee envelopes may not be available.,2023-01-31 09:41:56.0
Face Masks are OPTIONAL at Lyndon B. Johnson National Historical Park,The COVID-19 community levels in Blanco and Gillespie Counties are currently LOW. Face masks are OPTIONAL.,2023-01-30 15:06:46.0
Launch Ramp Conditions,Get the most current launch ramp and water elevation conditions,2023-01-30 10:43:24.0
Winter 2023 Operating Hours for Visitor Center and Museum,"The Visitor Center and Museum is open 5-days (Wednesday-Sunday). Operating hours are 9:00 am to 5:00 pm. The grounds (including all trails) at Camp Nelson National Monument are open 7-days a week, sunrise to sunset.",2023-01-29 15:43:43.0
COVID-19 Update: Masks Optional,"The park is open, including the visitor center, trails, waterways, and day-use areas. Masks are optional. See COVID-19 status page for more info.",2023-01-28 11:23:40.0
Road work throughout park in summer 2023,Road work will be occurring throughout the park during the 2023 summer season. Please check back for additional information as it becomes available.,2023-01-28 10:34:36.0
"The Point Campground to close for road work Sept. 5, 2023 to Nov. 30, 2023","The Point Campground will close for road work on September 5, 2023. Work is expected to take until the end of November. If work is completed early, the campground will reopen at that time.",2023-01-28 10:31:09.0
Antietam Battlefield Visitor Center Partially Closed,"The park is operating out of a temporary visitor center while the permanent one undergoes rehabilitation. We expect to complete the project Summer 2023. Restrooms, exhibits and the park store are open daily from 9a -5p.",2023-01-28 09:53:42.0
Miramontes Trail at Phleger Estate Closed for Public Safety,"Due to previous storm damage, the trail has been closed until the park can re-route it to a better location. Until construction of a re-route is complete, the trail will be closed.",2023-01-27 15:27:02.0
Loop Road and Campground Closed to Vehicles,The Loop Road and Lava Flow Campground are closed to automobiles for the season. The Lava Flow Campground is walk-in tent camping only and a free permit is required to camp.,2023-01-27 11:20:57.0
Parking is not permitted on the Kyles Landing Road (County Road 56),"Starting March 1, 2023, there will be ‘No Parking’ signs placed along the Kyles Landing Road, also known as County Road 56. Parking will no longer be permitted on the road to allow space for emergency vehicles to safely enter the park.",2023-01-27 09:12:05.0
Winter Grooming Operations Have Begun,The Loop Road has been groomed for cross-country skiing and snowshoeing. Grooming operations will continue on a weekly basis as conditions allow. Pets are not permitted on the Loop Road at this time.,2023-01-26 13:37:43.0
Trail Damage,"Due to recent widespread rain and flood conditions, please be aware that some trails have been heavily damaged and are not accessible. Exercise caution and plan ahead!",2023-01-25 17:55:32.0
Avoid Chinese Harbor,Visitors should avoid Chinese Harbor Road below the intersection of the Del Norte Trail while marine debris is removed from a recent vessel grounding.,2023-01-25 16:31:45.0
Public docking prohibited temporarily. Limited docking at Sea Camp,Update 1/24/2023: Dock inspections found damage to docks and gangways. Public docking on the island at Sea Camp and Dungeness is prohibited until repairs are made. Plum Orchard dock is open. Limited docking now open. Please call 912 882 4336 x 254,2023-01-24 11:20:28.0
Visitor Contact Station Moved to the Historic House,Rangers are stationed in the Historic House while Visitor Center and parking areas are upgraded. Completion currently estimated sometime in the spring of 2023. Follow posted signs.,2023-01-24 10:16:08.0
COVID-19 Update: Masks optional within federal buildings.,"The CDC has recently reduced the COVID-19 Community Levels for Suffolk County to “Medium”. In accordance with the NPS’s masking guidance policy, masks are now optional inside all federal buildings regardless of vaccination status.",2023-01-23 15:29:46.0
Darrah Hall Rehabilitation Project,"In 2023, the park will be engaged in rehabilitation work at Darrah Hall. We plan to keep the facility open for its regular hours of operation, but visitors should be aware of potential construction work around the site.",2023-01-20 17:07:16.0
Building Closures - Historic Preservation,"There are a few projects underway. From time to time this may require that we close certain areas or structures for the protection of our staff, visitors, and park resources. We appreciate your understanding while we perform this critical work.",2023-01-20 12:32:00.0
Current Visiting Requirements,"Tours of the Roosevelt Home are offered Thursday-Sunday and are by advanced reservation only. Masks are not required, but you may choose to wear one. Old Orchard Museum is open Thursday-Sunday from 11:00am-4:00pm. Grounds open daily sunrise-sunset.",2023-01-20 11:33:28.0
Masks optional for parks in medium COVID-19 community level areas,Norfolk County is in the MEDIUM (yellow) category for Covid-19 community transmission. Masks are not required in park buildings at this time. Individuals may wear a mask if they are so inclined.,2023-01-19 14:57:38.0
Raptor Nest Climbing Closures in Effect,"Beginning January 17th 2023, many climbing routes (especially in the Balconies area) are under a closure. Read more about it here. https://www.nps.gov/pinn/planyourvisit/advisory.htm",2023-01-19 13:02:42.0
The Visitor Center at Fort Clatsop is under remodel starting Jan. 16.,"Operation hours, 9 a.m. to 5 p.m., will not be impacted but visitors will be rerouted to enter the Visitor Center through side doors. Visitors are asked to follow all signage. The parking lot closest to the Visitor Center is closed.",2023-01-18 17:28:33.0
Nuevo Horario,"A partir del 22 de enero, seguimos un horario estacional. Hasta el 31 de marzo, las horas del parque serán de las 7 a. m. a las 7 p. m. Los vehículos que permanecen en el estacionalmiento después de las 7 p. m. serán llevados por grúa.",2023-01-18 10:53:30.0
Change in Park Hours,"Beginning Sunday, January 22, we will implement a seasonal schedule. During winter hours (November 1-March 31), the gates open from 7 am to 7 pm. Summer hours (April 1-October 31) are 7 am to 9 pm. Vehicles remaining in park after closing will be towed.",2023-01-18 10:44:20.0
Restricted Access to Eagle Nesting Area,Bald eagles are nesting in the Shiloh Indian Mounds National Historic Landmark. The main plaza of the mounds area is clearly roped off and inaccessible to visitors during nesting season. Please respect the enclosure and do not disturb the wildlife.,2023-01-17 17:18:56.0
Pacific Arch closed through February 23,"The Pacific Arch will be closed for maintenance through Feb 23. During this time, pedestrian access to the memorial is through the Atlantic Arch or ceremonial entrance on 17th Street. The accessible entrance is via the Atlantic Arch.",2023-01-17 11:03:34.0
1/15/2023 - Increasing Access to Visitor Center and Museum,"Beginning Sunday, Jan. 15, 2023, the visitor center at Cowpens NB will be open daily Wednesday to Sunday from 9:00 am to 5:00 pm. Restrooms and park grounds are open 7 days per week, except on federal holidays specified in the superintendent’s compendium.",2023-01-15 08:47:42.0
No Fireworks for Independence Day,"There will be no fireworks display at Mount Rushmore on the Fourth of July, however there are many fireworks events in the surrounding communities. More information can be found by following the attached link.",2023-01-13 11:55:11.0
Chilkoot Trail Remains Closed Due to Extensive Flood Damage,The Chilkoot Trail remains closed to the public as a result of recent flooding events. Repair work to open the trail will be extensive.,2023-01-12 14:59:22.0
Mulberry Bend Overlook,Mulberry Bend Overlook is temporarily closed due to recent snowfall. The area has not been cleared of snow and all areas are temporarily inaccessible.,2023-01-11 12:57:00.0
Park Phone Temporarily Down,"Park phone lines are temporarily down. Until connection is restored, visitors can call 201-458-3475 for general information Wednesday - Sunday, 9:00 AM - 4:30 PM EST.",2023-01-11 11:42:54.0
Current Storm Dangers,The current storm systems have brought with them increased dangers from high and fast-moving water as well as falling trees. Please use extreme caution if you plan to visit the park.,2023-01-10 13:25:46.0
COVID-19 Mask Optional,"Currently, the communities in Pullman are experiencing low transmission rates for COIVD-19. Face masks are optional. #RecreateResponsibly",2023-01-10 11:42:07.0
Temporary Closure of Lower Parking Lot Restroom for Renovations,"Beginning Monday, Jan 9, 2023, the restroom in the lower lot near the visitor center will be closed for renovations. Portable toilets will be available for public use. Anticipated reopening of the facility at the end of April 2023",2023-01-10 11:09:10.0
"Jan 10, 2023 Update - Increasing Access to Visitor Center and Museum",Kings Mountain NMP Visitor Center hours are Wednesday through Sunday from 9 a.m. to 5 p.m. Public restrooms and park grounds are open 7 days per week 9 a.m. to 5 p.m. daily.,2023-01-10 09:57:14.0
Planning a Spring Break Visit?,March is the busiest month in the park. Be prepared for parking areas and campgrounds to be at full capacity on weekends. Have a backup plan. Be flexible.,2023-01-09 15:50:54.0
Green River Ferry Status,The Green River Ferry Status can change without advanced warning. For the most up-to-date ferry status information please call the Green River Ferry Hotline at (270) 758-2166 or follow the Mammoth Cave Roads and Ferry Twitter feed. 2 vehicle limit.,2023-01-09 15:08:05.0
Visitor Center Closed for the Season,"The park visitor center is closed for the season. For trip planning assistance, contact the park at 907-644-3626.",2023-01-09 14:42:40.0
Lincoln Memorial Bridge closure,The Lincoln Memorial Bridge on State Highway 441 will be closed to traffic from Jan. 9 to April 30. The bridge connects Indiana and Illinois across the Wabash River. Some pedestrian areas in the park will remain closed for safety during the construction.,2023-01-09 13:32:52.0
Storm Hazards on Roads and Trails,"Flooding on roads and on trails, especially at stream crossings and in enclosed canyons and caves, can be unexpectedly strong. Rocks and trees may fall over roads and trails as well. Hazards may persist long after the storm subsides.",2023-01-09 13:20:57.0
Intermittent Observation Deck Closures,"Cold weather and mist from the falls can cause icy conditions at the observation deck at Mary Ellen Kramer Park, necessitating its closure. Please use caution while walking around the park. Click 'more' for a winter safety video with additional tips.",2023-01-09 12:48:06.0
Construction alert for Cheeseboro Canyon,"A trailhead improvement project (Sept. 19, 2022 - early summer 2023) will close the entire area around the regular Cheeseboro parking lot. A temporary parking lot is available off Chesebro Road. Access to trails will continue. Heed all signs!",2023-01-09 12:17:10.0
Cockspur Island Lighthouse and Lighthouse Island are Closed,"Due to ongoing preservation efforts, the lighthouse and lighthouse island are closed to the public.",2023-01-07 11:58:50.0
The North Shoreline is Closed,The shoreline is closed permanently for resource protection and visitor safety.,2023-01-07 11:58:29.0
Gastrointestinal Illness Was Reported in Grand Canyon's Backcountry During 2022,Prevent illness by proper hand washing and ensure the safety of your drinking water.,2023-01-07 08:45:20.0
Santa Barbara Island Closed Due to Storm Damage,Santa Barbara Island is closed to public access due to dock building damage from the recent storms.,2023-01-06 20:01:33.0
Exit Glacier Developed Area open to Snowmachine use for winter 2022/23 season,"Kenai Fjords National Park opened the Exit Glacier Developed Area to off road snowmachine use on. Open areas include, the Exit Glacier Road, a designated route through the Exit Glacier campground to Exit Creek, and the Exit Glacier outwash plain.",2023-01-06 17:49:59.0
