Alert,parkCode,Description,Date,Park Name
Ravine Trial Closed,misp,"Due to damage caused by high winds, the Ravine Trail at Zollicoffer Park is closed until further notice.",2023-04-02 14:21:46.0,Mill Springs Battlefield National Monument
All Lava Tube Caves Closed for the Season,crmo,"All lava tube caves are closed for the season due to hazardous ice and snow. No cave permits will be issued at this time. Typically, the caves do not reopen until early summer.",2023-04-02 11:55:49.0,Craters Of The Moon National Monument & Preserve
Loop Road and Campground Closed to Vehicles,crmo,The Loop Road and Lava Flow Campground are closed to automobiles for the season. The Lava Flow Campground is walk-in tent camping only and a free permit is required to camp.,2023-01-27 11:20:57.0,Craters Of The Moon National Monument & Preserve
Winter Grooming Operations Have Begun,crmo,The Loop Road has been groomed for cross-country skiing and snowshoeing. Grooming operations will continue on a weekly basis as conditions allow. Pets are not permitted on the Loop Road at this time.,2023-01-26 13:37:43.0,Craters Of The Moon National Monument & Preserve
Water Off in the Campground,crmo,The water in the campground has been shut off for the season due to freezing nighttime temperatures. The campground comfort stations are also closed. Vault toilets in the campground are still available.,2022-10-12 11:33:05.0,Craters Of The Moon National Monument & Preserve
Navigation,crmo,Please do not rely upon GPS digital navigation systems to find your way to Craters of the Moon. Please note that the Visitor Center at 1266 Craters Loop Road is located just off U.S. Highway 20/26/93 and is not accessed via any unpaved roads.,2017-01-13 08:33:59.0,Craters Of The Moon National Monument & Preserve
Areas Closed Temporarily Due to Hurricane Damage,cana,"*Apollo Beach boardwalk 1A is temporarily closed for beach access. *Apollo Beach parking area 6 on the lagoon side. *Playalinda Beach parking areas: 6, Eddy Creek, & 12.",2023-04-02 11:08:43.0,Canaveral National Seashore
Summer Operating Hours,cana,"Beginning Sunday March 12th, the park will begin operating on the summer hours of 6:00 AM - 8:00 PM.",2023-03-08 10:00:39.0,Canaveral National Seashore
Rip Currents and Rough Surf,cana,Remember that rough surf is dangerous & rip currents can be deadly. Please use caution when swimming at Canaveral National Seashore.,2020-05-21 10:04:59.0,Canaveral National Seashore
Shiloh Visitor Center Closure,shil,"The Shiloh Battlefield visitor center is currently closed to install new museum exhibits. The park film is not being shown at this time. The bookstore, restrooms, picnic area, and battlefield auto tour remain open.",2023-04-02 09:56:37.0,Shiloh National Military Park
Restricted Access to Eagle Nesting Area,shil,Bald eagles are nesting in the Shiloh Indian Mounds National Historic Landmark. The main plaza of the mounds area is clearly roped off and inaccessible to visitors during nesting season. Please respect the enclosure and do not disturb the wildlife.,2023-01-17 17:18:56.0,Shiloh National Military Park
COVID-19 Mask Requirement,shil,"Based on updated CDC guidance regarding local COVID-19 transmission risk in Alcorn and Hardin counties, face masks are currently optional at the Corinth Civil War Interpretive Center and at the Shiloh Visitor Center. This alert will be updated as needed",2022-08-05 09:53:45.0,Shiloh National Military Park
Visitor Center Closed 4/2/23,sitk,"The Visitor Center is closed Sunday, April 2, 2023 - Tuesday, April 4, 2023. We will reopen on Wednesday, April 5, 2023 10 a.m. - 3 p.m. as scheduled.",2023-04-01 19:13:00.0,Sitka National Historical Park
"Thursday, April 6: No Ranger-led Programs at the Boyhood Home or Texas White House Complex",lyjo,"To allow staff to attend training, Thursday, April 6, there will be no ranger-led programs at the Boyhood Home or the Texas White House Complex. Visitor centers will be open and staffed. Visitors can drive the ranch and explore park grounds on their own.",2023-04-01 16:57:12.0,Lyndon B Johnson National Historical Park
Face Masks are OPTIONAL at Lyndon B. Johnson National Historical Park,lyjo,The COVID-19 community levels in Blanco and Gillespie Counties are currently LOW. Face masks are OPTIONAL.,2023-01-30 15:06:46.0,Lyndon B Johnson National Historical Park
Texas White House Closure,lyjo,A temporary closure of the Texas White House is still in place due to safety concerns arising from structural issues. The LBJ Ranch driving tour is not affected. Click the link for progress updates.,2020-03-17 14:39:53.0,Lyndon B Johnson National Historical Park
Several Park Trails Temporarily Closed,ocmu,Most park trails are closed as staff clear debris left by recent storms. The visitor center and park road are open.,2023-04-01 09:37:31.0,Ocmulgee Mounds National Historical Park
Opelofa Loop Trail Closure,ocmu,"The Opelofa Loop Trail, the 1/4-mile loop off-shooting from the main Opelofa Trail, is currently closed due to hazardous conditions.",2023-02-17 11:27:55.0,Ocmulgee Mounds National Historical Park
COVID-19 mask requirement as of 4/01/2023,gois,"In observance of COVID protocol, visitors are asked to wear masks and observe social distancing when required.",2023-04-01 09:14:04.0,Governors Island National Monument
Fall/Winter changes,gois,"As of October 31, 2022, visitation inside the forts will be suspended until the spring of 2023. Check this site for future changes",2022-11-02 15:11:01.0,Governors Island National Monument
Tioga Road and Glacier Point Road are closed for the winter,yose,"Tioga Road (continuation of Highway 120 through the park) and Glacier Point Road are closed for the season due to snow. They will both reopen later than usual this summer. Call 209/372-0200 (then 1, 1) for road conditions and tire chain requirements.",2023-03-31 21:23:41.0,Yosemite National Park
Conditions in Yosemite are very snowy,yose,"While several miles of paved pedestrian paths in Yosemite Valley are plowed, all hiking trails are covered in snow. Wear waterproof boots and traction devices as even plowed paths can be icy. Hiking on snow-covered trails is not recommended.",2023-03-16 20:12:22.0,Yosemite National Park
Devils Postpile National Monument is closed for the season,depo,"The Reds Meadow Valley Road to Devils Postpile National Monument is closed for the winter. Reds Meadow Road will have a delayed opening due to a large snowpack. There is more snow this year than in 2017, when the road opened on July 21.",2023-03-31 21:20:50.0,Devils Postpile National Monument
"Bates Well Road to the Cabeza Prieta Boundary, and Pozo Nuevo Road Temporarily Closed",orpi,"Bates Well Road will be closed starting April 4, 2023 from the intersection of Growler Wash, extending west to the Cabeza Prieta boundary of the Cabeza Prieta National Wildlife Refuge, and Pozo Nuevo beginning north of the North Puerto Blanco junction.",2023-03-31 18:19:37.0,Organ Pipe Cactus National Monument
South Puerto Blanco Road Open; West and East Border Roads closed for public safety,orpi,The border roads (the dirt roads directly along the border) remain closed to all public vehicle and pedestrian traffic for public safety.,2023-03-31 17:50:49.0,Organ Pipe Cactus National Monument
Dump Station Closed,orpi,"Due to a large water main break, the RV dump station in Twin Peaks Campground is currently closed until further notice.",2023-03-28 11:52:13.0,Organ Pipe Cactus National Monument
"Ajo Mountain Drive to close April 3, 2023 through end of month",orpi,"Ajo Mountain Drive, a 21-mile one-way road will close on April 3, 2023 through the end of the month to finish a road improvement project that began last fall. This multi-phased project will improve the visitor use and experience of the road.",2023-03-22 19:27:44.0,Organ Pipe Cactus National Monument
"Alamo Canyon Campground Opens For Advanced Reservations January 1, 2023",orpi,"Alamo Canyon Campground will be available year-round, beginning January 1, 2023 for reservations on www.recreation.gov or by calling 877-444-6777. This change will make it possible for visitors to reserve their ideal campsite prior to their arrival.",2022-12-16 13:54:39.0,Organ Pipe Cactus National Monument
Gachado Line Camp open. Southeast border road and access roads closed,orpi,El Camino De Dos Republicas remains open from SR85 to Gachado Line Camp. Dos Lomitas is not accessible. The southeast border road from Lukeville Port of Entry eastward to the Santa Rosa Mountains is closed to public vehicle and pedestrian traffic.,2022-08-24 14:37:51.0,Organ Pipe Cactus National Monument
"Road Work on South Puerto Blanco, Pozo Nuevo and Bates Well Roads via Darby Well.",orpi,"Road crews with heavy equipment will be working on the South Puerto Blanco to Pozo Road then north to Bates Well Road via Darby Well Road. Use caution, drive slow, and follow instructions from road crews when directed to pass.",2022-08-24 14:24:06.0,Organ Pipe Cactus National Monument
Lowndes Interpretative Center Closed as of 3/23/23,semo,"Due to a water main break, the Lowndes Interpretive Center is closed as of March 23, 2023. This center will remain closed until at least Wednesday, April 12, 2023. The Selma and Montgomery Interpretive Centers are open during normal operating hours.",2023-03-31 15:05:25.0,Selma To Montgomery National Historic Trail
Visitor Center Phones Down,semo,Phones at the Selma Interpretive Center are currently down. Please call the Montgomery Interpretive Center at (334)293-0597 for questions or to make a reservation for a group visit at any of our visitor centers.,2023-03-03 14:58:24.0,Selma To Montgomery National Historic Trail
Walk Through the Ruins Trail improvements.,jofl,"The Walk Through the Ruins Trail is being improved as the Path of the Flood Trail is being built in the lakebed. While it remains open, it is an active project and may briefly close for short periods of time. Portions are the trail are very wet and muddy.",2023-03-31 14:31:45.0,Johnstown Flood National Memorial
Western Gulls Nesting on Anacapa Island From April Through Mid-August,chis,"During this time, visitors will encounter seabird rookery conditions: guano, strong odor, constant noise, bird carcasses, and birds protecting their territory. If visitors consider these conditions adverse, it is advised that they visit another island.",2023-03-31 14:30:36.0,Channel Islands National Park
"Wet Creek Crossing at Canada Del Puerto, Prisoner's Harbor and Water Canyon, Santa Rosa Island",chis,"During winter and spring, visitors need to be prepared for a wet creek crossing at Canada del Puerto in Prisoner's Harbor. The footbridge at Water Canyon on Santa Rosa Island has washed out and currently requires a wet creek crossing as well.",2023-03-21 15:37:22.0,Channel Islands National Park
Closure to Off-Trail Burn Area at East Santa Cruz Island,chis,"Scorpion Anchorage is open for day and overnight visitation. Hiking is still allowed on the Smugglers Cove Road. However, the nearby off-trail Scorpion Fire burn area of approximately 1,411 acres will be closed for restoration until further notice.",2023-02-09 18:33:14.0,Channel Islands National Park
Partial Closure of San Miguel Island Due to Safety Concerns,chis,"All trails and facilities on San Miguel Island, except the sandy beaches of Cuyler Harbor, are closed to the public until emergency repairs can be made to Nidever Canyon Trail.",2023-02-03 17:46:06.0,Channel Islands National Park
Avoid Chinese Harbor,chis,Visitors should avoid Chinese Harbor Road below the intersection of the Del Norte Trail while marine debris is removed from a recent vessel grounding.,2023-01-25 16:31:45.0,Channel Islands National Park
Santa Barbara Island Closed Due to Storm Damage,chis,Santa Barbara Island is closed to public access due to dock building damage from the recent storms.,2023-01-06 20:01:33.0,Channel Islands National Park
The Visitor Center is closed due to construction projects.,grfa,"The NPS is imposing a temporary closure to the Great Falls Visitor Center until further notice due to needed construction projects. VC restrooms open 9:30A-5:30P, overlooks/trails & Port-a-potties at Old Carriage Road Trail open until park closed at dark.",2023-03-31 11:21:13.0,Great Falls Park
"Mask Status in Park Buildings – Masks OPTIONAL– Week of March 31 - April 7, 2023",kimo,"The NPS has updated its mask guidance to align with the CDC’s COVID-19 Community Levels tool. Each Friday, the park will update the mask status for the upcoming week. This park spans 2 counties and will follow guidance for the county with higher levels.",2023-03-31 08:31:53.0,Kings Mountain National Military Park
"Jan 10, 2023 Update - Increasing Access to Visitor Center and Museum",kimo,Kings Mountain NMP Visitor Center hours are Wednesday through Sunday from 9 a.m. to 5 p.m. Public restrooms and park grounds are open 7 days per week 9 a.m. to 5 p.m. daily.,2023-01-10 09:57:14.0,Kings Mountain National Military Park
"Mask Status in Park Buildings – Masks OPTIONAL– Week of March 31 - April 7, 2023",cowp,"The NPS has updated its masking guidance to align with the CDC’s new COVID-19 Community Levels tool, which helps communities decide what prevention steps to take. Each Friday, the park will update the mask status here for the upcoming week.",2023-03-31 08:30:12.0,Cowpens National Battlefield
1/15/2023 - Increasing Access to Visitor Center and Museum,cowp,"Beginning Sunday, Jan. 15, 2023, the visitor center at Cowpens NB will be open daily Wednesday to Sunday from 9:00 am to 5:00 pm. Restrooms and park grounds are open 7 days per week, except on federal holidays specified in the superintendent’s compendium.",2023-01-15 08:47:42.0,Cowpens National Battlefield
2023 Train Schedule and Tickets,stea,"Steamtown NHS train rides resume for the season on Thursday, May 11, 2023.",2023-03-31 08:21:45.0,Steamtown National Historic Site
Phone Lines Down,stea,"We are experiencing technical difficulties with our phones. To speak with a specific employee, please call their work cell phone directly or e-mail using format firstname_lastname@nps.gov. For general information, e-mail stea_visitor_information@nps.gov.",2023-02-14 11:10:20.0,Steamtown National Historic Site
Temporary Building Closures in Effect: Park Remains Open to Visitors,stea,"The roundhouse, railyard, and grounds remain open to visitors. The following buildings are temporarily closed due to issues with our heating system: Visitor Center, Theater, History Museum, and Technology Museum.",2022-12-08 09:36:30.0,Steamtown National Historic Site
Restrooms during Temporary Closures,stea,"During the temporary closures of the Visitor Center, Theater, History Museum, and Technology Museum, there will be no public access to heated bathrooms or running water. Portable toilets will be available outside.",2022-11-17 08:42:18.0,Steamtown National Historic Site
CLOSED: Walkway to Steamtown Mall,stea,The walkway between Steamtown NHS and the Marketplace at Steamtown Mall has closed for the season. There is now NO pedestrian access to Steamtown NHS.,2022-11-08 14:59:06.0,Steamtown National Historic Site
Diablo Lake Boat Launch Inaccessible to Powerboats,noca,"Due to silt accumulation, the Diablo Lake boat launch at Colonial Creek South Campground is not usable for launching most powerboats. Expect shallow or no water at the launch ramp and the possibility of needing to carry your boat to or from the water.",2023-03-30 18:30:13.0,North Cascades National Park
State Route 20 Closed for the Winter,noca,"State Route 20 is closed at milepost 134 (Ross Dam Trailhead) for the season. Visitors can access the closed portion of the highway during the winter season. Park in designated parking areas, do not block the gate.",2022-11-08 14:34:09.0,North Cascades National Park
Cascade River Road Emergency Closure MP6,noca,Cascade River Road is closed at milepost 6 (USFS boundary) due to a rockslide.,2022-11-03 09:52:45.0,North Cascades National Park
Cascade River Road Closed for the Season,noca,"Cascade River Road is closed for the winter season at milepost 20 (Eldorado), three miles before the trailhead. Do not block the road and gate when parking.",2022-11-03 09:46:12.0,North Cascades National Park
Trail and Camp Closures Due to Fire Activity,noca,For closures due to fire activity visit the Fire Closures page.,2022-10-27 09:56:12.0,North Cascades National Park
Be Aware of Break-ins along State Route 20,noca,Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.,2021-07-28 16:44:07.0,North Cascades National Park
North Fork and South Fork Areas May Be Inaccessible Due to Flooding From Winter Storms,seki,"Flooding, debris slides, and landslides from winter have caused damage along roads leading to two remote areas in the foothills of Sequoia National Park. Roads to these areas may be closed, impassable, or difficult to navigate during any storm.",2023-03-30 18:02:35.0,Sequoia & Kings Canyon National Parks
All Entrances to Sequoia and Kings Canyon National Parks Are Closed,seki,"All roads are closed due to significant storm damage. Kings Canyon National Park is projected to reopen in mid-April. The Foothills area of Sequoia National Park is projected to open in mid-April, and the Giant Forest in late May via Highway 180",2023-03-25 16:56:47.0,Sequoia & Kings Canyon National Parks
Deer and elk along Highway 50,cure,"Due to the heavy snows this winter there are a lot of deer & elk along the highways. Many are being hit by vehicles. This week alone, 5 deer & elk are being hit daily. Slow down & be careful on roadways. Report vehicle & wildlife collisions - 970-641-2337",2023-03-30 17:56:43.0,Curecanti National Recreation Area
US Highway 50 Roadwork,cure,"Road construction with delays and nightly closures on US Highway 50 between Cimarron and Dillon Pinnacles runs from March 6 to July 31, 2023. The road is open to two-way traffic on weekends and holidays.",2023-03-03 11:56:40.0,Curecanti National Recreation Area
Climbers Be Aware of Nesting Falcons,deto,Climbers be advised that falcon nesting season is upon us. Presently there are no formal closures. Please check back for updates. Report any nests and avoid disturbances to said nests: deto_interpretation@nps.gov & 307-467-5283x637,2023-03-30 17:41:47.0,Devils Tower National Monument
News Releases,deto,Stay up to date with the latest big news items from Devils tower National Monument,2021-06-02 17:20:12.0,Devils Tower National Monument
"Bandelier access by shuttle only 9 am to 3 pm mid May - mid October, 2023",band,"Access to Bandelier National Monument and the Frijoles Canyon Visitor Center, Pueblo Loop Trail, and Falls Trail is by shuttle bus only, mid-May - mid-October, from 9am to 3pm 7 days a week.",2023-03-30 16:09:22.0,Bandelier National Monument
"Too Many Visitors, Not Enough Parking",band,"Spring Break, busiest time of the year, begins March 4. With limited parking in the park, we recommend you plan to come before 10:30 AM/after 2 PM to reduce the risk of being told to leave and return later because there are no available parking spaces.",2023-03-14 12:37:20.0,Bandelier National Monument
"Temporary Closure of Bandelier's Tsankawi Unit Begins April 3, 2023, Rest of Park Remains Open",band,Bandelier National Monument's Tsankawi Unit will temporarily close on April 3rd due to extensive construction work.,2023-03-10 17:53:58.0,Bandelier National Monument
Seasonal Closures,band,The Coyote Loop of Juniper Family Campground and the RV Dump Station will be closed until late spring 2023.,2023-02-26 16:20:09.0,Bandelier National Monument
"Uber, Lyft, and other ""Taxi"" services",band,"Bandelier is in a remote location, with cell service in the canyon limited to Verizon 4G only. Services like Uber and Lyft will bring you here, but there may be no way to contact a ride out. Please plan your pickup before being dropped off at Bandelier.",2017-12-20 10:40:16.0,Bandelier National Monument
"The Phones Lines are Down, Please Email Us",hafo,"The phone lines for Hagerman Fossils Beds National Monument are currently being repaired. To contact a ranger, please send an email to hafo_information@nps.gov",2023-03-30 12:04:30.0,Hagerman Fossil Beds National Monument
Use Caution with GPS Navigation,hafo,"The new visitor center is located at 17970 US Hwy 30, about one mile north of downtown Hagerman and the old visitor center. Highway signs and GPS navigation may not yet be up-to-date.",2022-07-25 17:16:47.0,Hagerman Fossil Beds National Monument
Road Closures,blca,"The park is open to the Visitor Center & Gunnison Point. The rest of South Rim Road, as well as the East Portal and North Rim Roads, are closed for the season. Due to heavy snowfall this year, roads may open later than normal (late April or early May).",2023-03-30 11:47:08.0,Black Canyon Of The Gunnison National Park
Highway 50 Construction,blca,"Road construction and road closures will begin on Monday, March 6, 2023, for the Highway 50 Little Blue Creek Canyon Improvement Project. The project is located between mileposts 123 and 127, approximately 30 miles east of Montrose, Colorado.",2023-03-06 11:09:07.0,Black Canyon Of The Gunnison National Park
Black Canyon South Rim Wilderness Permits,blca,"South Rim inner canyon permits can be obtained day-of-the-trip at the visitor center (because it is off-season), either from a ranger or self-serve. Permits are required for Gunnison, Tomichi, and Warner routes and inner canyon trips; daily limits apply.",2023-02-17 14:01:31.0,Black Canyon Of The Gunnison National Park
No Water Available at Black Canyon,blca,"Temperatures are now well below freezing, so all water at the park has been turned off for the winter. Make sure to bring drinking water and any other water needs.",2022-10-24 18:32:47.0,Black Canyon Of The Gunnison National Park
Campground Closure,blca,"A and C loops in the South Rim Campground are closed for the season. B loop is open, and electricity is on. All water is turned off for the winter.",2022-10-24 18:31:26.0,Black Canyon Of The Gunnison National Park
Canyon Mouth Park Closure,liri,Canyon Mouth Park is currently closed for a prescribed burn.,2023-03-30 11:19:13.0,Little River Canyon National Preserve
SEASONAL SAFETY MESSAGE,liri,"Be careful and safe while out in the canyon! Be cautious of your surroundings, don't cliff jump, don't stray off of the main trails, and don't get too close to Little River Falls or the canyon rim. These activities could result in injury or death.",2023-03-23 14:16:55.0,Little River Canyon National Preserve
Bridge Trail Hiking Trail-Temporary Closure,liri,"Due to flooding and the resulting damage to the trail, the Bridge Trail Hiking trail is closed until further notice. This trail leads from the Jacksonville State University Canyon Center to Little River Falls Parking Lot. Little River Falls is still open.",2023-03-16 10:29:18.0,Little River Canyon National Preserve
Naval Submarine Base Kings Bay to conduct emergency exercise April 4-6,cuis,"Naval Submarine Base Kings Bay will conduct an emergency response exercise on and near the base 4-6 April 2023. Simulations may include gunfire, smoke and announcements as part of training exercises and pose no risk to exercise participants or the public.",2023-03-30 10:04:10.0,Cumberland Island National Seashore
Public docking prohibited temporarily. Limited docking at Sea Camp,cuis,Update 1/24/2023: Dock inspections found damage to docks and gangways. Public docking on the island at Sea Camp and Dungeness is prohibited until repairs are made. Plum Orchard dock is open. Limited docking now open. Please call 912 882 4336 x 254,2023-01-24 11:20:28.0,Cumberland Island National Seashore
South Cut trail Partially Closed,cuis,South Cut Trail is closed between the main road and Killman Field trail due to washout along the trail. Detour for that section is along Killman Field trail. South Cut trail from Killman Field trail to the beach is open.,2022-12-22 12:15:18.0,Cumberland Island National Seashore
Construction closure of Sea Camp Campground Bathhouse,cuis,The park is updating the bathhouse at Sea Camp Campground. Temporary bathrooms and showers have been installed. A portion of the trail will be closed and re-routed. All visitors must follow posted detour signs. Walk bicycles through campground loop.,2022-11-30 10:22:00.0,Cumberland Island National Seashore
COVID-19 Mask Requirement: OPTIONAL,cuis,"Consistent with CDC guidance, in areas of substantial or high transmission, visitors to Cumberland Island National Seashore, regardless of vaccination status, are required to wear a mask inside all park buildings. CURRENT STATUS: OPTIONAL",2022-09-12 08:39:17.0,Cumberland Island National Seashore
Bike rentals are not available at this time,cuis,"Bike rentals on Cumberland Island are not available at this time. Although rental bikes will not be available, with a reservation and a modest fee the ferry can transport up to 15 personal bikes to the island.",2021-08-17 16:46:10.0,Cumberland Island National Seashore
Rancho Corral de Tierra - San Vicente Creek Bridge Closed,goga,"Due to recent storm damage, the San Vicente Creek bridge to the Spine Trail near Ember Ridge Equestrian Center is closed to the public.",2023-03-29 15:11:41.0,Golden Gate National Recreation Area
Ocean Beach Fire Season in Effect through October 31,goga,"Fires allowed ONLY in provided fire rings between Stairwells 15 and 20. For more information, check the link below.",2023-03-28 19:06:33.0,Golden Gate National Recreation Area
"Some trails in the Presidio closed to dogs for coyote pupping season starting Monday, Mar. 13",goga,"To reduce the potential for coyote/dog conflict, beginning on Monday, March 13, the Presidio Trust is proactively closing large sections of the Park Trail and the Bay Area Ridge Trail to dog walking (see link below).",2023-03-10 19:02:38.0,Golden Gate National Recreation Area
Long Ave closed to vehicles most weekdays from 3/15 to 7/31,goga,"Staff will be repairing a stairway that links West Bluff to Battery East. Stairs will be closed 7:30AM-5:00PM, Mon-Thurs through 7/31. Long Ave, will close to vehicle traffic during that time to allow for a safe detour. See link for details.",2023-03-09 18:03:43.0,Golden Gate National Recreation Area
Miramontes Trail at Phleger Estate Closed for Public Safety,goga,"Due to previous storm damage, the trail has been closed until the park can re-route it to a better location. Until construction of a re-route is complete, the trail will be closed.",2023-01-27 15:27:02.0,Golden Gate National Recreation Area
Cave Tour Opening Day Delay,orca,"Due to a heavy snowpack and continuing storm fronts, opening day for cave tours and the Oregon Caves Visitor Center are delayed. Check back at this website mid-April for updates.",2023-03-29 13:47:02.0,Oregon Caves National Monument & Preserve
Winter Road Conditions,orca,Expect snow and icy road conditions at the monument and preserve.,2023-03-29 13:45:09.0,Oregon Caves National Monument & Preserve
June 6th Tour Closure,orca,Cave tours will be closed June 6th for staff training. Surface trails will be open.,2023-03-29 13:43:13.0,Oregon Caves National Monument & Preserve
Medano Pass Primitive Road Closed for Winter at Castle Creek Picnic Area,grsa,Medano Pass Primitive Road is closed for the winter season at Castle Creek Picnic Area (2.6 miles from the southern entrance of the road). This is a backcountry road that does NOT affect travel to the dunes or main use area of the park.,2023-03-29 11:36:44.0,Great Sand Dunes National Park & Preserve
Pinon Flats Campground Restrooms Closed for Renovations,grsa,"Pinon Flats Campground restrooms are closed until further notice. While the restrooms are undergoing renovations, porta-potties and hand-wash stations will be provided. Outside water faucets are available for use.",2023-03-29 11:34:21.0,Great Sand Dunes National Park & Preserve
Visitor Center Closed for Renovations,grsa,The visitor center is closed to complete interior renovations. Ranger information and the WNPA park store are available in a temporary building located in the visitor center parking lot.,2023-03-29 11:30:55.0,Great Sand Dunes National Park & Preserve
Old Mine Road Closed,dewa,"Old Mine Road south of Millbrook to Worthington State Forest is closed for the season until April 15th, 2023.",2023-03-29 10:39:42.0,Delaware Water Gap National Recreation Area
Closures Due to Eagle and Peregrine Falcon Nesting,dewa,"The following areas are closed due to raptor nesting: McDade Trail between Pittman Orchard and Conashaugh Trailhead, Sawkill Creek Trail, Mt. Minsi climbing area (Appalachian Trail remains open), Flying Hawks Airfield (closed to model airplane flying).",2023-02-23 09:13:00.0,Delaware Water Gap National Recreation Area
Intermittent Closures of River Road for Amphibian Migration,dewa,"River Road will be closed on several evenings between now and mid-April to protect breeding amphibians on evenings/nights with mild, wet conditions. Closure occurs from approximately 6 pm to 6:30 am. https://www.nps.gov/dewa/learn/news/23-amphibians.htm",2023-02-16 15:33:35.0,Delaware Water Gap National Recreation Area
Sleeping Bear Point Road Closed,slbe,Sleeping Bear Point Road is closed to vehicle and pedestrian traffic until further notice. The road is being repaired from winter damage.,2023-03-29 09:26:49.0,Sleeping Bear Dunes National Lakeshore
Cashless payments at staffed locations,slbe,"As of March 1, 2023, the Lakeshore will accept only cashless payments at staffed locations for all fees and permits.",2023-03-02 09:16:35.0,Sleeping Bear Dunes National Lakeshore
Mojave Road 4x4 Route Crossing of Soda Lake CLOSED,moja,"the Soda Lake crossing on Mojave backcountry road is CLOSED due to wet, muddy conditions. drivers could be held financially liable for resource damage and vehicle extraction costs. Use detour via Rasor Rd., Interstate 15, & Kelbaker Rd.",2023-03-28 18:06:44.0,Mojave National Preserve
All of Kelbaker Road OPEN; Hole in the Wall requires access via I-40 and Essex Road.,moja,"GPS apps are not updating the Kelbaker Road opening, do not follow GPS, use direct route on Kelbaker Road between Kelso and Baker. Black Canyon Road CLOSED North of Hole in the Wall. Only Essex Rd & I-40 accesses the Hole in the Wall Area",2023-03-28 17:15:25.0,Mojave National Preserve
Cima Road CLOSED from Cima to I-15. Do Not Drive on this road,moja,Cima Road is CLOSED from Interstate 15 to Kelso Cima Road until March 2024 due to construction. Please use alternate routes. Teutonia Peak and other Cima Dome attractions are accessible only with expert routefinding on backcountry 4WD only roads.,2023-03-28 17:09:16.0,Mojave National Preserve
Outdoor Water Not Available in Campground,colm,"Due to below freezing temperatures, the outdoor spigots in the campground are shut off. Bathrooms are open. A spigot is available behind the visitor center, near stairs to the back porch.",2023-03-28 16:54:03.0,Colorado National Monument
Restroom Closures,colm,"The restrooms at the campground and picnic area will be closed in stages during renovation. The project will run from 3/27 to 4/30/23. Portable toilets are available, and one restroom will remain open while the other is being worked on.",2023-03-26 12:02:04.0,Colorado National Monument
New Parking Measures at Museum and Visitor Center Take Effect on April 1,gett,"New parking measures will take effect at the Museum & Visitor Center on April 1, 2023. These measures are necessary due to the ongoing road construction on Visitor Center Drive from Taneytown Road to the Visitor Center. See attached map for more details.",2023-03-28 15:31:04.0,Gettysburg National Military Park
Little Round Top Rehabilitation Project Closure Notice,gett,"The construction contractor closed Little Round Top on Tuesday, July 26. All road closures & detours have gone into effect. Little Round Top will be CLOSED for 18 months.",2022-07-30 16:18:39.0,Gettysburg National Military Park
"Frozen Lake Access Proposal open comment period will be open through May 3, 2023",voya,The park will host public meetings discussing our frozen lake access Preliminary proposal. Park staff will give a presentation and will then be available to answer questions from the public. Click more below for meeting dates and further information.,2023-03-28 15:22:20.0,Voyageurs National Park
Park Headquarters Building Access,voya,The park headquarters building may be entered Monday through Friday 8 - 4:30 pm. Located on the park entrance doors are phones numbers to gain access.,2023-01-05 08:37:51.0,Voyageurs National Park
New Vessel Decontamination Procedures,voya,"Voyageurs National Park management will now require all vessels crossing the Kettle Falls Portage from Rainy Lake to Namakan Lake to be decontaminated by trained staff beginning May 13, 2022. Visitors may experience delays when portaging at this area.",2022-04-15 13:33:48.0,Voyageurs National Park
Salmi Road entrance to the Kab-Ash Trail Temporarily Closed,voya,"Salmi Road entrance to the Kab-Ash Trail out of the Kabetogama community is temporarily closed. Access to the trail remains open Ash River Trail, the Meadwood Road, and at the eastern most terminus of the trail within the community of Ash River.",2021-05-30 11:18:38.0,Voyageurs National Park
Cranberry Creek to Locator Lake Trail is closed,voya,The Cranberry Creek to Locator Lake trail is closed until further notice due to beaver damming and flooding which is making the trail impassable. Signs are posted at the trail entrance.,2019-07-31 15:49:14.0,Voyageurs National Park
Jamestown Island Loop Closed April 1 thru June 15,colo,The Loop Drive on Jamestown Island in Colonial National Historical Park will be CLOSED to vehicles this year from April 1st until June 15th to allow turtles to move safely through their natural wetland habitat. Pedestrians and Bicycles are permitted.,2023-03-28 14:36:30.0,Colonial National Historical Park
Temporary closure of Ringfield Pullout until further notice for shoreline stabilization construction,colo,"Effective March 7, 2023, Ringfield Pullout and river access will be closed to all visitors until further notice for shoreline stabilization construction. The Powhatan Village and Indian Field Creek Pullouts remain open as alternate access to York River.",2023-03-02 15:30:00.0,Colonial National Historical Park
Jamestown Island Loop Closed April 1 thru June 15,jame,The Loop Drive on Jamestown Island in Colonial National Historical Park will be CLOSED to vehicles this year from April 1st until June 15th to allow turtles to move safely through their natural wetland habitat. Pedestrians and Bicycles are permitted.,2023-03-28 14:35:13.0,Historic Jamestowne Part of Colonial National Historical Park
Akers Ferry-State Highway K- CLOSED until further notice,ozar,CLOSED until further notice,2023-03-28 09:20:56.0,Ozark National Scenic Riverways
