Park Name,parkCode,Description,Directions,Address
Dayton Aviation Heritage National Historical Park,daav,"Dayton Aviation Heritage National Historical Park exists at the heart of one of the world’s most significant, globally impactful stories: the discovery of the secrets of controllable flight. Through perseverance and determination the Wright brothers and Paul Laurence Dunbar were able to overcome obstacles in their lives and leave their respective marks on history.","Located in west-central Ohio, the park is easily accessible via I-70, I-75 or US Route 35. The main park visitor center, Wright Dunbar Interpretive Center, is located at S. Williams St. and W. Third St. in Dayton.","16 South Williams Street, , , Dayton, OH, 45402"
De Soto National Memorial,deso,"In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States.","Driving Directions: From I-75 Take exit 220 SR 64/Manatee Ave, Gulf Beaches exit. Travel west on SR 64 for approximately 12 miles to 75th St. W. Turn right onto 75th St. W. travel north approximately 2 miles to the northern terminus 75th St. W. turns into De Soto Memorial Hwy and dead ends into the park.","8300 De Soto Memorial Hwy, , , Bradenton, FL, 34209"
Death Valley National Park,deva,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life thrives in Death Valley.",There are multiple entrances to the park. Click below to learn the best ways to travel to Death Valley.,"PO Box 579, , , Death Valley, CA, 92328"
Delaware Water Gap National Recreation Area,dewa,"Situated within the most densely populated region of the United States, Delaware Water Gap National Recreation Area provides a unique opportunity to experience tranquil landscapes, rich human history, and striking scenery along 40 miles of the longest free-flowing river east of the Mississippi. The park offers year-round recreation including hiking, paddling, fishing, and hunting.","Delaware Water Gap National Recreation Area is a long, narrow park that sits between two major interstates, I-80 at the south and I-84 at the north. US 209 is the main north/south road through the park on the Pennsylvania side and Old Mine Road is the main north/south road though the park on the New Jersey side.","1978 River Road, , , Bushkill, PA, 18324"
Denali National Park & Preserve,dena,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Denali. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await.","You can drive to Denali from Anchorage or Fairbanks, along Highway 3, which is known as the ""George Parks Highway."" Fairbanks is about 2 hours north, while Anchorage is 5 hours south of the Denali entrance. You can also reach Denali from either city via the Alaska Railroad, which is operated by the State of Alaska. A small private airstrip is also available near the park entrance for individuals wishing to fly their own small craft to the park.","Mile 237 Highway 3, , , Denali Park, AK, 99755"
Devils Postpile National Monument,depo,"Established in 1911 by presidential proclamation, Devils Postpile National Monument protects and preserves the Devils Postpile formation, the 101-foot high Rainbow Falls, and pristine mountain scenery. The formation is a rare sight in the geologic world and ranks as one of the world's finest examples of columnar basalt. Its' columns tower up to 60 feet and display a striking symmetry.","Shuttle Bus: Most visitors must park at the Mammoth Mountain Ski Area and use the mandatory shuttle. The shuttle bus operates from mid-June through the Wednesday after Labor Day. By car: From U.S. Highway 395, drive 10 miles west on S.R. 203 to Minaret Vista and then another 8 miles on a paved, steep mountain road. Please note that this road is single lane for approximately 3 miles. By plane: The closest commercial airport is the Mammoth Lakes/Yosemite Airport (MMH), located on U.S. Highway 395.","Devils Postpile Access Road, , , Mammoth Lakes, CA, 93546"
Devils Tower National Monument,deto,"The Tower is an astounding geologic feature that protrudes out of the prairie surrounding the Black Hills. It is considered sacred by Northern Plains Indians and indigenous people. Hundreds of parallel cracks make it one of the finest crack climbing areas in North America. Devils Tower entices us to learn more, explore more and define our place in the natural and cultural world.","The park entrance is located 33 miles northeast of Moorcroft, 27 miles northwest of Sundance, and 52 miles southwest of Belle Fourche, SD. If approaching from the east or west, take US Hwy 14 to WY 24 (follow the signs from I-90). If approaching from the north, take WY 112 to WY 24 (from Montana) or SD 34 / WY 24 (from South Dakota).","149 State Highway 110, , , Devils Tower, WY, 82714"
Dinosaur National Monument,dino,"Dinosaurs once roamed here. Their fantastic remains are still visibly embedded in the rocks. Today, the mountains, desert, and untamed rivers flowing in deep canyons support an array of life. Petroglyphs hint at earlier cultures. Later, homesteaders and outlaws found refuge here. Whether your passion is science, adventure, history or scenery, Dinosaur offers much to explore.","Dinosaur National Monument is located on the Colorado and Utah border with a parts of the monument in both states. Dinosaur fossils are not visible in the Colorado portion of the monument - only on the Utah side. The Quarry Visitor Center and Exhibit Hall (where you see the dinosaur fossils) are located approximately 7 miles north of Jensen, Utah.","11625 E 1500 S, , , Jensen, UT, 84035"
Dry Tortugas National Park,drto,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands. Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.","Dry Tortugas National Park is one of the most remote parks in the National Park System. Located approximately 70 miles west of Key West it is accessible only by a daily concession ferry, private boats, charter boats, or seaplane.","40001 SR-9336, , , Homestead, FL, 33034"
Dwight D. Eisenhower Memorial,ddem,The Dwight D. Eisenhower Memorial tells the story of one of America's greatest leaders of the 20th century.,"GPS Coordinates: 38.887318, -77.018541 GPS Navigation: 540 Independence Ave SW Nearest Intersection: 6th St NW and Independence Ave SW","540 Independence Avenue SW, , , Washington, DC, 20202"
Ebey's Landing National Historical Reserve,ebla,"This stunning landscape on the Salish Sea, with its rich farmland and promising seaport, lured the earliest American pioneers north of the Columbia River to Ebey’s Landing. Today Ebey’s Landing National Historical Reserve preserves the historical, agricultural and cultural traditions of both Native and Euro-American – while offering spectacular opportunities for recreation.",Ebey's Landing National Historical Reserve is on Whidbey Island in the Puget Sound. The island is easily accessible from the mainland by vehicle via Washington State Route 20 from Burlington and aboard the Washington State Ferries from either Mukilteo or Port Townsend.,"162 Cemetery Road, , , Coupeville, WA, 98239"
Edgar Allan Poe National Historic Site,edal,"Described as horrifying, mystifying, and brilliant, Poe’s writing has engaged readers all over the globe. The six years Edgar Allan Poe lived in Philadelphia were his happiest and most productive. Yet Poe also struggled with bad luck, personal demons and his wife’s illness. In Poe’s humble home, reflect on the human spirit surmounting crushing obstacles, and celebrate Poe’s astonishing creativity.","The Edgar Allan Poe National Historic Site is located at 532 N. 7th Street, Philadelphia, PA 19123. It sits in an urban area served by Interstates 95 and 676. On- street parking is usually available near the site. The site is also easily accessible by public transportation. See the directions web page for more information.","532 N. 7th Street, , , Philadelphia, PA, 19123"
Effigy Mounds National Monument,efmo,"The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley.","Located 3 miles north of Marquette, Iowa on Hwy 76.","151 Hwy 76, , , Harpers Ferry, IA, 52146"
Eisenhower National Historic Site,eise,"Eisenhower National Historic Site preserves the farm of General and 34th President Dwight D. Eisenhower. Adjacent to the Gettysburg battlefield, the farm served the president and first lady as a weekend retreat and as a meeting place for world leaders. With its peaceful setting and view of South Mountain, it was a respite from Washington, DC, and a backdrop for efforts to reduce Cold War tensions.","The grounds of Eisenhower NHS are open daily, sunrise to sunset. December 2022: the Eisenhower Home is open for tours on Thursdays, Fridays, Saturdays, and Sundays. All tours start at the Gettysburg NMP Visitor Center.","243 Eisenhower Farm Road, , , Gettysburg, PA, 17325"
El Camino Real de Tierra Adentro National Historic Trail,elca,"Travel along El Camino Real de Tierra Adentro National Historic Trail to experience and learn from a complicated legacy of 300 years of conflict, cooperation, and cultural exchange between a variety of empires—European and non-European alike.",You can visit many sites along El Camino Real de Tierra Adentro National Historic Trail over the 404-mile U.S. historic route (with thousands of additional miles in Mexico) that crosses New Mexico and Texas.,"National Trails Office  Regions 6|7|8, El Camino Real de Tierra Adentro National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
El Camino Real de los Tejas National Historic Trail,elte,"Explore a diverse array of histories contained within El Camino Real de los Tejas’ 150-year life, including the Spanish struggle to missionize American Indian nations, the growth of cattle ranching in the Mexican period, and the movement for Texan independence and statehood.","You can visit many sites of the El Camino Real de los Tejas National Historic Trail over the 2,580-mile historic route that crosses 2 states, and travels into Mexico, to Mexico City.","National Trails Office Regions 6|7|8, El Camino Real de los Tejas National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
El Malpais National Monument,elma,"The richly diverse volcanic landscape of El Malpais (el-mal-pie-EES) offers solitude, recreation, and adventure. Explore incredible geologic features such as lava flows, cinder cones, lava tube caves, and sandstone bluffs. While some may see a desolate environment, people have been adapting to and living in this extraordinary terrain for generations. Come discover the land of fire and ice!","No roads exist through El Malpais National Monument. To explore the east side of the park, take exit 89 off I-40 and head south on Highway 117. To explore the north side of the park, take exit 81 off I-40 and head south on Highway 53. To reach the visitor center, take exit 85 off I-40 in Grants, New Mexico. After you exit, head south on Santa Fe Ave and continue straight over the freeway overpass. Take a left at the entrance sign for El Malpais Visitor Center and continue 300 yards to the parking lot.","1900 E. Santa Fe Ave., , , Grants, NM, 87020"
El Morro National Monument,elmo,"Imagine the refreshment of finding water after days of dusty travel. A reliable waterhole hidden at the base of a sandstone bluff made El Morro (the headland) a popular campsite for hundreds of years. Here, ancestral Puebloans, Spanish, and American travelers carved over 2,000 signatures, dates, messages, and petroglyphs. Make El Morro National Monument a stopping point on your travels.","From Albuquerque, NM, or from the east: take Interstate 40 west to Grants. At exit 81, go south on Highway 53 for 42 miles to El Morro National Monument. From Flagstaff, AZ, or from the west: take Interstate 40 east to Gallup. At exit 20, go south on Highway 602 for about 31 miles. Turn east (left) onto Highway 53. El Morro is 25 more miles.","Mile Marker 44.6 Hwy 53, , , Ramah, NM, 87321"
Eleanor Roosevelt National Historic Site,elro,"Visit the home of Eleanor Roosevelt. Here, Franklin and Eleanor entertained friends, state visitors, the press, and their associates in the tranquil and relaxed atmosphere of Val-Kill. Explore the Roosevelt saga in the homes of Franklin and Eleanor Roosevelt, the exhibits at the nation’s first Presidential Library, and over a thousand acres of gardens and trails.","Eleanor Roosevelt National Historic Site is located on Route 9G in the Town of Hyde Park, NY.","54 Valkill Park Road, , , Hyde Park, NY, 12538"
Ellis Island Part of Statue of Liberty National Monument,elis,"How far would you travel to find a better life? What if the journey took weeks under difficult conditions? If you answered ""Whatever it takes,"" you echo the feelings of the 12 million immigrants who passed through these now quiet halls from 1892 to 1954. Ellis Island afforded them the opportunity to attain the American dream for themselves and their descendants. Come hear their stories.","Ellis Island is located in New York Harbor, and can only be reached by boat. Ferries are operated by Statue Cruises, and depart from Battery Park in Lower Manhattan in New York City. Ferries are also available from Liberty State Park in Jersey City, New Jersey.","Ellis Island National Museum of Immigration, Statue of Liberty National Monument, , New York, NY, 10004"
Eugene O'Neill National Historic Site,euon,"America's only Nobel Prize winning playwright, Eugene O'Neill, chose to live in Northern California at the height of his writing career. Isolated from the world and within the walls of his home, O'Neill wrote his final and most memorable plays; The Iceman Cometh, Long Day's Journey Into Night, and A Moon for the Misbegotten.","Reservations are required to visit the site. We offer a free shuttle that will pick up visitors in downtown Danville, CA. The shuttle meets at 205 Railroad Avenue outside the Museum of the San Ramon Valley. Parking is available next to the museum. Reservations can be made by calling (925)228-8860 x6422 or send your reservation request by e-mail.","205 Railroad Avenue, , , Danville, CA, 94526"
Everglades National Park,ever,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee, American crocodile, and the elusive Florida panther. An international treasure as well - a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.","Directions to Ernest Coe Visitor Center 40001 State Road 9336, Homestead, FL 33034 Visitors coming from the Miami area and points north should take the Florida Turnpike (Route 821) south until it ends merging with U.S. 1 at Florida City. Turn right at the first traffic light onto Palm Drive (State Road 9336/SW 344th St.) and follow the signs to the park. Visitors driving north from the Florida Keys should turn left on Palm Drive in Florida City and follow the signs to the park.","40001 State Road 9336, , , Homestead, FL, 33034"
Federal Hall National Memorial,feha,"Here on Wall Street, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.","The main entrance of Federal Hall is located at 15 Pine Street, near the corner of Nassau and Pine Street in Manhattan's Financial District. The rear entrance, which is wheelchair accessible, is located at 15 Pine Street, near the intersection of Pine Street and Nassau Street. It is highly recommended that all visitors use mass transit when traveling to Federal Hall.","15 Pine Street, , , New York, NY, 10005"
Fire Island National Seashore,fiis,"Immerse yourself in an enchanting collage of coastal life and history. Rhythmic waves, high dunes, ancient maritime forests, historic landmarks and glimpses of wildlife, Fire Island has been a special place for diverse plants, animals and people for centuries. Far from the pressure of nearby big-city life, dynamic barrier island beaches offer solitude, camaraderie, and spiritual renewal.","Fire Island National Seashore Headquarters are located in Patchogue, New York, on Long Island. Fire Island National Seashore Headquarters: Via Long Island Expressway/I-495: Take Exit 61 (Patchogue-Holbrook Road) to Waverly Ave. Head south on Waverly Ave to West Ave. Turn right onto Laurel Street. Via NY-27: Take Exit 52 onto Waverly Ave. Head south on Waverly Ave to West Ave. Turn right onto Laurel Street.","120 Laurel Street, , , Patchogue, NY, 11772"
First Ladies National Historic Site,fila,"First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and our Education Center. Come learn about how the position of First Lady has evolved over time to include a public role.","The First Ladies National Historic Site is located in downtown Canton, Ohio. Free parking is available behind the Saxton House or at our gated lot on the corner of Market Avenue South and 3rd Street SW. Please begin your visit at the education center at 205 Market Avenue South.","205 Market Avenue South, , , Canton, OH, 44702-2107"
First State National Historical Park,frst,"Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley. From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence.",First State National Historical Park is made up of six individual sites throughout Delaware and southeastern Pennsylvania that explore early settlement through the ratification of the US Constitution. Please visit the individual pages for directions or hours of operation.,"New Castle Court House Museum, 211 Delaware Street, , New Castle, DE, 19720"
Flight 93 National Memorial,flni,"On Tuesday morning, September 11, 2001, the U.S. came under attack when four commercial airliners were hijacked and used to strike targets on the ground. Nearly 3,000 people tragically lost their lives. Because of the actions of the 40 passengers and crew aboard one of the planes, Flight 93, the attack on the U.S. Capitol was thwarted.","The entrance to the memorial is located on US Route 30/Lincoln Highway. Traveling east on the PA Turnpike take exit 110 - Somerset and follow the signs. Traveling west on the PA Turnpike take exit 146 - Bedford. GPS Address: 6424 Lincoln Highway, Stoystown, PA 15563. Please note mapping programs may note alternate entrances, but the only entrance to the memorial is located on US Route 30. For more details follow the link to our website","6424 Lincoln Highway, , , Stoystown, PA, 15563"
Florissant Fossil Beds National Monument,flfo,"Beneath a grassy mountain valley in central Colorado lies one of the richest and most diverse fossil deposits in the world. Petrified redwood stumps up to 14 feet wide and thousands of detailed fossils of insects and plants reveal the story of a very different, prehistoric Colorado.","Visitors traveling north/south on I-25: Exit at US 24 West, travel 35 miles to town of Florissant, then follow signs two miles south on Teller County Road 1 to the Visitor Center. Visitors traveling from town of Cripple Creek: Follow Teller County Road 1 north for 16 miles.","15807 Teller County Road 1, , , Florissant, CO, 80816"
Ford's Theatre,foth,"April 14, 1865. President Lincoln is assassinated at Ford’s Theatre. Discover how a nation handled grief and loss, how everyday people experienced a national tragedy, and how we have remembered a fallen leader. Today, in partnership with Ford’s Theatre Society, live dramatic productions highlight Lincoln’s love of the theatre, and the power of stories to connect us to ourselves and our history.",Ford's Theatre National Historic Site is located on 10th Street between E and F streets. The site is within walking distance of the Metro stops at Metro Center and Gallery Place. Parking garages and metered street parking are located nearby.,"511 10th Street NW, , , Washington, DC, 20004"
Fort Bowie National Historic Site,fobo,"Fort Bowie witnessed almost 25 years of conflict between the Chiricahua Apache and the US Army, and remains a tangible connection to the turbulent era of the late 1800s. Explore the history of Fort Bowie and Apache Pass as you hike to the visitor center and old fort ruins. Today, this peaceful landscape stands in stark contrast to the violence that once gripped this land.","From Willcox, AZ / points west on I-10: drive 23 miles east of Willcox on Interstate 10 to the the town of Bowie. Exit at the first Bowie exit and drive through the town. Follow the signs for Fort Bowie National Historic Site and turn south on Apache Pass Road. Drive 13 miles to the Fort Bowie Trailhead (the last mile of the road is unpaved). Be prepared to walk the three miles round trip to the ruins and back to your car.","3500 South Apache Pass Road, , , Bowie, AZ, 85605"
Fort Davis National Historic Site,foda,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.","We are approximately 2.5 hours south of Midland/Odessa starting on I-20 to HWY 17, 3.5 hours North West of Del Rio starting on HWY 90 to HWY 118, 4 hours east of El Paso starting on I-10 to HWY 118 and 7 hours west of San Antonio starting on I-10 to HWY 17.","101 Lt. Flipper Dr. #1379, P.O. Box 1379, , Fort Davis, TX, 79734"
Fort Donelson National Battlefield,fodo,"Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.","The main entrance is located at 120 Fort Donelson Park Road, in Dover Tennessee. It is advised to start a visitor experience here. Brochures and information are available at this location. Physical address for the park's Fort Heiman unit, in Calloway County, Kentucky: 682 Fort Heiman Road, New Concord, Kentucky. This site is not staffed daily, but exhibits and information are available for visitors.","174 National Cemetery Drive, PO Box 434, , Dover, TN, 37058"
Fort Dupont Park,fodu,"This 376 acre wooded park was once home to an earthen fort built to protect Washington, DC, during the Civil War. Today, visitors can see the fort's earthworks and escape to the great outdoors. Activities include picnics, nature walks, biking, gardening, environmental education, music, and ranger-led programs.",No physical address. Best address to use is as follows; 3600 F Street SE Washington D.C.,"National Capitol Parks-East, 1900 Anacostia Drive SE, , Washington, DC, 20020"
Fort Foote Park,fofo,"Fort Foote was constructed in 1863 atop Rozier's Bluff to strengthen the ring of fortifications that encircled Washington, D.C. Two of the Guns that protected Washington are still there along with the remains of the fort's earthworks.","From the Beltway (I495/I95), take Exit 3, Indian Head Highway south (MD210/Indian Head Highway) and drive for approximately 3.5 miles to Old Fort Road. Turn right for 1 mile to Fort Foote Road S, turn left. Follow the winding road through the residential area to entrance sight on the left for the fort. If driving north on MD210/Indian Head Highway turn left onto the 2nd Old Fort Road you come to (Old Fort Rd cross 210 twice). There will be a McDonald's on your left at the correct traffic light.","8915 Fort Foote Road, , , Oxon Hill, MD, 20745"
Fort Frederica National Monument,fofr,"Georgia's fate was decided in 1742 when Spanish and British forces clashed on St. Simons Island. Fort Frederica's troops defeated the Spanish, ensuring Georgia's future as a British colony. Today, the archeological remnants of Frederica are protected by the National Park Service.","Directions from Torras Causeway: at end of causeway, get in left lane. Follow left lane to traffic light. Go straight at light. Follow Sea Island Road to Frederica Road. Turn left at traffic light onto Frederica Road. Follow Frederica to roundabout. Take second exit of roundabout (still on Frederica). Go approximately 1 mile. Turn left onto park entrance road. Across from Wesley United Methodist Church. For detailed directions, clink the link below.","Fort Frederica National Monument, 6515 Frederica Rd., , St. Simons Island, GA, 31522"
Fort Laramie National Historic Site,fola,"Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best known military post on the Northern Plains before its abandonment in 1890. This “grand old post” witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.","The park is located in southeast Wyoming approximately 125 miles southeast of Casper, 100 miles north of Cheyenne and 55 miles west of Scottsbluff, Nebraska. From Interstate 25, take exit 92 to US Highway 26, proceed east to the town of Fort Laramie; turn right on State Route 160 and travel three miles to the park entrance. From westbound US 26, proceed west from Scottsbluff, Nebraska to the town of Fort Laramie; turn left on State Route 160 and continue three miles to the park entrance.","965 Gray Rocks Road, , , Fort Laramie, WY, 82212"
Fort Larned National Historic Site,fols,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,"Fort Larned National Historic Site is located on KS Hwy 156, six miles west of Larned, Kansas.","1767 KS Hwy 156, , , Larned, KS, 67550"
Fort Matanzas National Monument,foma,"Fort Matanzas National Monument preserves the fortified coquina watchtower, completed in 1742, which defended the southern approach to the Spanish military settlement of St. Augustine. It also protects approximately 300 acres of Florida coastal environment containing dunes, marsh, maritime forest, and associated flora and fauna, including threatened and endangered species.",Fort Matanzas is 14 miles south of Saint Augustine on State Route A1A.,"8635 A1A South, , , Saint Augustine, FL, 32080"
Fort McHenry National Monument and Historic Shrine,fomc,"by the dawn's early light, a large red, white and blue banner? Whose broad stripes and bright stars... were so gallantly streaming...over Fort McHenry! The valiant defense of the fort during the Battle of Baltimore on September 13-14, 1814 inspired Francis Scott Key to write the words that became the U.S. national anthem. The fort's history holds many other stories too, from the Civil War to WWII.","The park is three miles southeast of the Baltimore Inner Harbor and just off I-95. Follow the brown Fort McHenry directional signs along all major routes to the park. From I-95 northbound, take Exit 55 Key Highway and follow Fort McHenry signs.","2400 East Fort Avenue, , , Baltimore, MD, 21230"
Fort Monroe National Monument,fomr,"Fort Monroe National Monument has a diverse history spanning the American story from American Indian presence, Captain John Smith's journeys, first arrival of enslaved Africans in English North America, a safe haven for freedom seekers during the American Civil War, and a bastion of defense for the Chesapeake Bay through the 21st Century. Visit and witness the on-going preservation work in action.","From I-64 East or West take Exit 268 (169 East Mallory St/Ft. Monroe) (Going East: Last Exit prior to Hampton Roads Bridge Tunnel, going West: first Exit after it.) Top of Exit Left at light onto S Mallory St (0.1 mile). Right at 2nd light onto E Mellen St. Continue crossing a small bridge (0.6 mile). Continue straight at light (Left fork) onto Ingalls Rd (0.6 mile). Left into visitor center parking lot or on street parking.","41 Bernard Road, Building #17, , Fort Monroe, VA, 23651-1001"
Fort Necessity National Battlefield,fone,"The battle at Fort Necessity in the summer of 1754 was the opening action of the French and Indian War. This war was a clash of British, French and American Indian cultures. It ended with the removal of French power from North America. The stage was set for the American Revolution.","The main unit of the park is located 11 miles east of Uniontown, Pennsylvania on U.S. Highway 40. The visitor center, reconstructed Fort Necessity, Mount Washington Tavern and picnic area are located in the main unit of the park.","1 Washington Parkway, , , Farmington, PA, 15437"
Fort Point National Historic Site,fopo,"From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge.","Fort Point is located at the south anchorage of the Golden Gate Bridge at the end of Marine Drive on the Presidio of San Francisco. By car take Highway 101 N or S, exit at the Golden Gate Bridge toll plaza at south end of bridge. From S turn right at end of exit ramp, or from N go straight on Merchant Drive. Turn left onto Lincoln Boulevard. Take a left onto Long Avenue and follow onto Marine Drive.","Fort Point National Historic Site, Building 999, Marine Drive, , San Francisco, CA, 94129"
Fort Pulaski National Monument,fopu,"For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority to these forts. The Union army used rifled cannon and compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.","From Interstate I-95, take Exit 99 onto Interstate I-16 East (James L Gillis Memorial Hwy) for 7 miles. Take Exit 164A onto Interstate I-516 East toward US-80 East. Take Exit 3 (US-17 S/US-80 E) toward US-80 East. Turn left onto Ocean Highway, Ogeechee Rd (US-17 N, US-80 East). Bear right onto West Victory Drive (US-80 East). Continue on US-80 East for 13 miles. GPS Coordinates for Fort Pulaski National Monument: N32° 01.680 W080° 53.525","101 Fort Pulaski Road, , , Savannah, GA, 31410"
Fort Raleigh National Historic Site,fora,"Fort Raleigh National Historic Site protects and preserves known portions of England's first New World settlements from 1584 to 1590. This site also preserves the cultural heritage of the Native Americans, European Americans and African Americans who have lived on Roanoke Island.","Fort Raleigh National Historic Site is located on the northern end of Roanoke Island, north of the town of Manteo, NC.","1500 Fort Raleigh Road, , , Manteo, NC, 27954"
Fort Scott National Historic Site,fosc,"Promises made and broken! Who deserves to be free? The fight for freedom! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.","Fort Scott National Historic Site is located in downtown Fort Scott, Kansas. U.S. Highways 69 and 54 intersect here. Fort Scott is about 90 miles south of Kansas City and 60 miles northwest of Joplin, Missouri. It is 4 miles from the Kansas-Missouri border. Signs directing visitors to Fort Scott are posted on highway 69 for visitors coming from the north and the south and on highway 54 for visitors coming from the east and the west.","1 Old Fort Blvd., , , Fort Scott, KS, 66701"
Fort Smith National Historic Site,fosm,"Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them. From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.","From Interstate 40 Eastbound: Exit at Roland, and drive six miles on highway 64 to downtown Fort Smith. From Interstate 40 Westbound & from North I 540 & Fayetteville, take Interstate 40 westbound to I 540 south. Exit west on Rogers Ave. and continue to downtown. In the downtown area: On Rogers or Garrison Ave turn south at 4th St. Turn right onto Garland Ave. At the end of the next block is the entrance to the main parking lot. Parking is also available on Third Street.","301 Parker Ave, , , Fort Smith, AR, 72901"
Fort Stanwix National Monument,fost,"For centuries, the Oneida Carrying Place, a six mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.","Take I-90 (NY Thruway) to Exit 33 (Verona-Rome). Turn Right onto Rt. 365 E. Follow Rt. 365, veering left as Rt. 365 merges with Rt 69 at the fork in the road. This will take you over an arterial bridge into the City of Rome. Fort Stanwix NM will be across Erie Blvd. on the right side of James Street.","100 North James St., , , Rome, NY, 13440"
Fort Sumter and Fort Moultrie National Historical Park,fosu,"Two forts stand at the entrance of Charleston Harbor. Patriots inside a palmetto log fort, later named Fort Moultrie, defeated the Royal Navy in 1776. As Charleston blazed a path towards secession to preserve slavery, construction on a new fort, Fort Sumter, proceeded. The Confederacy fired on the US garrison of Fort Sumter on April 12, 1861 opening the Civil War, which redefined American freedom.","Fort Sumter is accessible by ferry boat. Boats depart at scheduled times from two sites. The primary departure point is the Fort Sumter Visitor Center, 340 Concord Street, Charleston. Boats depart from Patriots Point, 40 Patriots Point Boulevard, Mount Pleasant. There is a fee for the concession-operated ferry. Fort Moultrie is accessible by car at 1214 Middle Street, Sullivan's Island. A park entrance fee is charged for the park. Details at: https://www.nps.gov/fosu/planyourvisit/directions.","340 Concord Street, , , Charleston, SC, 29401"
